"job_title","company_name","job_location","job_posting_count","num_skills_required"
"Data Engineer (12000 USD/Mes) [Remote]","Listopro","Anywhere","1500","10"
"Data Engineer (12000 USD/Mes)","Listopro","Anywhere","1230","10"
"Data Engineer","Dice","Anywhere","509","86"
"Data Engineer","Insight Global","Anywhere","298","61"
"Senior Data Engineer","EPAM Anywhere","Anywhere","271","32"
"Data Engineer - Remote | WFH","Get It Recruit - Information Technology","Anywhere","264","60"
"Senior Big Data Engineer","EPAM Anywhere","Anywhere","241","35"
"Senior Data Engineer","Dice","Anywhere","239","52"
"Data Engineer (6200 USD/Mes)","Listopro","Anywhere","238","8"
"Data Analyst - Remote | WFH","Get It Recruit - Information Technology","Anywhere","237","41"
"Data Engineer","Upwork","Anywhere","236","55"
"Data Engineer","Robert Half","Anywhere","230","49"
"Senior Data Engineer","Harnham","Anywhere","222","33"
"Data Engineer (6200 USD/Mes) [Remote]","Listopro","Anywhere","217","8"
"Data Engineer Expert","Globant","Anywhere","216","27"
"Data Engineer (3920 USD/Mes) [Remote]","Listopro","Anywhere","209","11"
"Data Analyst","Dice","Anywhere","193","43"
"Data Analyst","Get It Recruit - Information Technology","Anywhere","193","38"
"Lead Data Engineer","EPAM Anywhere","Anywhere","192","23"
"Lead Big Data Engineer","EPAM Systems","Anywhere","189","34"
"Key Data Engineer (Java / AWS)","EPAM Systems","Anywhere","176","16"
"Data Engineer","Turing","Anywhere","171","40"
"Data Analyst","Insight Global","Anywhere","167","46"
"Senior Big Data Engineer","EPAM Systems","Anywhere","162","26"
"Data Engineer","Listopro","Anywhere","162","3"
"Lead Machine Learning Engineer","EPAM Systems","Anywhere","157","18"
"Data Engineer","Harnham","Anywhere","155","42"
"Data Engineer (5833 USD/Mes) [Remote]","Listopro","Anywhere","144","2"
"Data Engineer (5833 USD/Mes)","Listopro","Anywhere","139","9"
"Senior Machine Learning Engineer","EPAM Systems","Anywhere","138","23"
"Data Engineer [Remote]","Listopro","Anywhere","138","3"
"Data Engineer - Contract to Hire","Upwork","Anywhere","136","52"
"Platform Engineer (Data & Backend) (6200 USD/Mes) [Remote]","Listopro","Anywhere","133","7"
"Data Engineer","Brooksource","Anywhere","129","48"
"Data Engineer","Luxoft","Anywhere","129","35"
"Senior Data Engineer","Luxoft","Anywhere","127","35"
"Senior Data Engineer with Databricks","EPAM Systems","Anywhere","126","17"
"Data Engineer (3733 USD/Mes) [Remote]","Listopro","Anywhere","124","4"
"Senior Data Engineer","Ciklum","Anywhere","123","30"
"Data Engineer","LHH","Anywhere","120","47"
"Senior Data Engineer","EPAM Systems","Anywhere","120","22"
"Data Engineer","Apex Systems","Anywhere","117","43"
"Senior Data Engineer","Intellias","Anywhere","117","33"
"Senior Data MDM Engineer","EPAM Systems","Anywhere","117","9"
"Senior Data Software Engineer","EPAM Anywhere","Anywhere","116","20"
"Senior Data Analyst - Remote | WFH","Get It Recruit - Information Technology","Anywhere","115","30"
"Data Engineer (6000 USD/Mes) [Remote]","Listopro","Anywhere","115","5"
"Data Engineer (4480 USD/Mes)","Listopro","Anywhere","114","6"
"AWS Data Engineer","Dice","Anywhere","112","38"
"Staff Software Engineer (Data and Storage Services)","Affirm","Anywhere","112","16"
