"skill_id","skill_name","job_location","avg_salary","postings_requiring_skill"
0,"sql","Remote","119711.036732356676","1378"
1,"python","Remote","127748.915806907037","1151"
76,"aws","Remote","136644.997969777961","608"
182,"tableau","Remote","109558.380018625828","453"
74,"azure","Remote","131573.766763117284","405"
181,"excel","Remote","93180.063142407162","377"
80,"snowflake","Remote","135789.159682446092","371"
92,"spark","Remote","140922.272139023546","361"
5,"r","Remote","108196.676347173145","283"
96,"airflow","Remote","142754.088607594937","237"
4,"java","Remote","138350.715857712766","235"
78,"redshift","Remote","134290.824269045064","233"
183,"power bi","Remote","106347.749497049356","233"
75,"databricks","Remote","132328.788198617788","208"
98,"kafka","Remote","149738.219288793103","203"
3,"scala","Remote","146133.484590814917","181"
97,"hadoop","Remote","134635.738235294118","170"
61,"sql server","Remote","119503.643323863636","165"
2,"nosql","Remote","133316.095394736842","152"
81,"gcp","Remote","137885.323129251701","147"
