"skill_id","skill_name","location","avg_salary","num_jobs","postings_requiring_skill"
157,"next.js","United States","217500.000000000000","1","1"
145,"node.js","United States","217500.000000000000","1","1"
139,"django","United States","212500.000000000000","1","1"
116,"graphql","United States","208750.000000000000","2","2"
225,"unity","United States","208500.000000000000","1","1"
213,"kubernetes","United States","207178.571428571429","14","14"
233,"jira","United States","205448.571428571429","7","7"
221,"chef","Anywhere","204125.000000000000","4","4"
120,"seaborn","United States","200000.000000000000","1","1"
58,"neo4j","United States","200000.000000000000","1","1"
214,"docker","United States","195388.636363636364","11","11"
32,"assembly","Anywhere","192500.000000000000","1","1"
168,"unix","United States","192027.272727272727","11","11"
12,"bash","United States","191220.454545454545","11","11"
232,"airtable","United States","187000.000000000000","1","1"
106,"scikit-learn","United States","183000.000000000000","2","2"
104,"spring","United States","182500.000000000000","2","2"
98,"kafka","United States","181576.785714285714","28","28"
142,"flask","United States","178750.000000000000","2","2"
17,"typescript","United States","175833.333333333333","3","3"
